id_entrega,fecha,comuna_destino,tipo_vehiculo,distancia_km,peso_kg,n_paquetes,hora_salida,score_gps_ruta,costo_combustible_clp,horas_entrega
2025-00031,2025-01-12,Arauco,moto,65.81,23.73,5,7,0.7211,10126.0,2.18
2025-00313,2025-01-13,Coronel,camion_ligero,13.5,2.99,8,9,0.414,3990.0,1.003
2025-00671,2025-01-13,Cabrero,moto,40.98,24.72,3,8,,7046.0,1.923
2025-00493,2025-01-13,Cabrero,furgon,65.31,19.51,3,10,,11618.0,2.443
2025-00784,2025-01-13,Curanilahue,furgon,84.12,3.25,2,6,,11774.0,2.568
2025-00428,2025-01-13,Lota,furgon,10.74,11.49,6,13,0.8362,4185.0,0.793
2025-00510,2025-01-13,Curanilahue,furgon,56.02,46.72,6,16,0.8296,8642.0,2.023
2025-00410,2025-01-13,Cabrero,furgon,52.44,22.9,2,12,,4838.0,1.47
2025-00624,2025-01-14,Lota,moto,24.37,13.59,5,14,0.6455,3039.0,0.761
2025-00782,2025-01-14,Laja,moto,62.23,19.92,7,12,0.4376,8503.0,2.237
2025-01394,2025-01-14,Florida,moto,15.51,29.36,3,16,0.742,1972.0,0.676
2025-00794,2025-01-14,Laja,furgon,53.31,32.29,6,10,,7019.0,1.741
2025-00393,2025-01-14,Hualqui,moto,18.42,22.34,7,6,,4434.0,1.06
2025-00261,2025-01-16,Santa Juana,furgon,26.76,8.41,7,6,0.4304,5636.0,1.42
2025-00998,2025-01-16,Coronel,camion_ligero,19.86,20.05,5,19,,7130.0,1.384
2025-00788,2025-01-17,Nacimiento,moto,113.58,22.37,6,10,,14698.0,3.882
2025-00541,2025-01-17,Hualqui,moto,23.06,11.73,8,17,,4382.0,1.243
2025-00552,2025-01-18,Penco,camion_ligero,24.17,6.46,7,15,0.6907,5224.0,1.169
2025-00613,2025-01-19,Los Angeles,furgon,52.81,26.65,5,9,0.4785,10034.0,2.687
2025-01131,2025-01-19,Laja,moto,52.43,12.02,4,6,,5550.0,1.32
2025-00588,2025-01-19,Florida,moto,16.24,21.99,1,9,0.6712,2070.0,0.504
2025-00878,2025-01-19,Coronel,moto,14.51,9.83,5,15,0.6669,1837.0,0.343
2025-00494,2025-01-20,Chiguayante,moto,22.62,34.54,3,16,,2798.0,0.696
2025-00868,2025-01-20,Talcahuano,camion_ligero,23.1,18.23,3,6,0.6186,3151.0,0.874
2025-00571,2025-01-20,Florida,furgon,11.24,51.07,7,18,0.5693,4065.0,0.97
2025-01389,2025-01-21,Cabrero,moto,14.43,20.57,6,12,0.6613,1726.0,0.501
2025-00727,2025-01-21,Cabrero,moto,61.61,21.63,1,9,,11443.0,2.432
2025-00675,2025-01-22,Hualqui,furgon,12.1,16.04,4,8,0.6323,3523.0,0.769
2025-00641,2025-01-22,Concepcion,furgon,20.3,37.06,8,9,0.6052,4773.0,1.461
2025-00882,2025-01-22,Hualpen,furgon,19.52,22.82,3,10,0.4826,2931.0,0.684
2025-01359,2025-01-22,Talcahuano,moto,13.53,24.39,8,11,0.673,2140.0,0.475
2025-00053,2025-01-22,Los Angeles,moto,81.69,33.36,5,19,,15938.0,3.662
2025-00590,2025-01-22,Concepcion,camion_ligero,19.54,18.08,1,18,0.4617,4541.0,1.03
2025-00141,2025-01-23,Coronel,moto,11.08,12.16,8,7,0.4817,5029.0,0.928
2025-00716,2025-01-23,Los Angeles,furgon,112.22,10.56,7,11,,18809.0,3.916
2025-00102,2025-01-23,Florida,camion_ligero,3.56,26.87,4,18,0.8188,203.0,0.151
2025-00050,2025-01-23,Los Angeles,moto,49.71,13.44,4,13,0.585,7290.0,1.659
2025-00476,2025-01-23,Hualpen,furgon,18.66,24.62,6,7,0.5148,5593.0,1.253
2025-00507,2025-01-24,Santa Juana,camion_ligero,26.03,13.09,2,16,0.6229,4669.0,1.292
2025-00851,2025-01-24,Cabrero,furgon,27.26,13.35,2,16,0.6695,5573.0,1.229
2025-00818,2025-01-24,Lota,furgon,20.69,17.47,4,10,0.5081,4894.0,1.299
2025-01043,2025-01-24,Tome,furgon,24.37,26.79,4,15,0.5463,4478.0,1.259
2025-00649,2025-01-24,Laja,furgon,17.32,7.84,3,18,,3772.0,1.069
2025-00460,2025-01-24,Hualpen,furgon,7.5,18.94,6,7,0.6436,2393.0,0.794
2025-00165,2025-01-25,Arauco,furgon,51.57,32.51,5,18,0.4543,13136.0,3.021
2025-00963,2025-01-25,Tome,moto,18.73,1.65,2,12,0.5137,4059.0,0.925
2025-00089,2025-01-25,Lebu,furgon,41.16,18.33,5,11,0.6789,6681.0,1.665
2025-01361,2025-01-25,San Pedro de la Paz,furgon,21.9,5.28,2,12,,3381.0,0.917
2025-01069,2025-01-25,Lebu,moto,38.62,4.83,2,14,,4658.0,0.983
2025-00871,2025-01-26,Hualpen,camion_ligero,16.13,12.21,8,6,0.7085,5218.0,0.962
2025-01214,2025-01-26,Florida,furgon,16.07,40.84,4,14,,5338.0,1.138
2025-00392,2025-01-26,Hualpen,furgon,19.79,31.95,8,16,0.3651,5029.0,1.136
2025-01121,2025-01-26,San Pedro de la Paz,furgon,8.83,10.99,7,11,0.7048,2732.0,0.709
2025-01204,2025-01-27,Hualqui,moto,20.13,10.69,7,14,0.436,4389.0,0.838
2025-00920,2025-01-27,Curanilahue,camion_ligero,61.06,44.71,7,15,,11891.0,3.189
2025-00384,2025-01-28,Lebu,moto,86.16,31.1,3,8,,11902.0,2.999
2025-00299,2025-01-28,Lota,moto,13.86,32.63,6,17,0.7386,3626.0,0.752
2025-00192,2025-01-28,Cabrero,moto,70.4,9.57,5,18,0.5311,12547.0,3.019
2025-00899,2025-01-28,Lebu,camion_ligero,47.36,20.0,6,10,,10057.0,2.413
2025-01244,2025-01-30,Arauco,furgon,38.23,17.52,3,11,,7903.0,1.804
2025-00131,2025-01-30,Talcahuano,moto,17.11,17.74,4,19,0.3324,3456.0,0.78
2025-00683,2025-01-31,Tome,furgon,16.14,11.52,8,11,0.6178,4471.0,1.021
2025-00989,2025-01-31,Hualpen,camion_ligero,18.39,13.22,6,14,0.4458,5298.0,1.296
2025-01377,2025-01-31,Hualqui,camion_ligero,21.62,3.7,7,9,0.7974,6370.0,1.258
2025-01010,2025-02-01,Laja,camion_ligero,36.62,20.76,8,15,,7238.0,1.895
2025-00321,2025-02-01,Cabrero,camion_ligero,47.1,23.61,7,19,,10569.0,2.693
2025-00536,2025-02-01,Talcahuano,furgon,5.36,19.17,2,14,0.6404,2865.0,0.318
2025-00616,2025-02-01,Lota,furgon,17.11,23.58,6,11,0.5555,5128.0,1.142
2025-00755,2025-02-01,Cabrero,moto,83.26,16.48,4,15,,9448.0,2.54
2025-00054,2025-02-02,Hualqui,furgon,17.29,15.07,6,19,0.6388,5617.0,1.33
2025-00333,2025-02-02,Laja,moto,95.89,9.26,4,10,,12250.0,2.943
2025-01076,2025-02-02,Los Angeles,camion_ligero,14.16,10.37,7,15,,5214.0,1.009
2025-00692,2025-02-03,Coronel,furgon,16.68,17.44,7,12,0.6878,3980.0,1.103
2025-00280,2025-02-03,Penco,furgon,17.08,21.95,5,18,0.5411,5085.0,1.247
2025-00911,2025-02-03,Lebu,moto,33.6,5.91,5,17,,5781.0,1.604
2025-01102,2025-02-03,Concepcion,furgon,20.73,11.11,2,14,0.4668,3448.0,1.035
2025-00925,2025-02-03,Lota,moto,17.46,19.6,8,15,0.3089,2899.0,1.001
2025-00508,2025-02-04,Hualpen,furgon,28.93,37.85,5,12,0.4768,5436.0,1.33
2025-01130,2025-02-04,Lota,furgon,22.11,26.62,5,6,0.4589,3514.0,0.985
2025-00420,2025-02-04,Coronel,furgon,19.36,9.61,6,8,0.5041,5604.0,1.112
2025-00556,2025-02-04,Los Angeles,furgon,68.07,22.69,3,18,,13579.0,3.219
2025-00912,2025-02-05,Cabrero,camion_ligero,63.31,12.85,7,16,0.7198,12634.0,2.893
2025-00597,2025-02-05,San Pedro de la Paz,camion_ligero,12.58,4.61,6,16,0.7223,3150.0,1.077
2025-00655,2025-02-05,San Pedro de la Paz,camion_ligero,9.8,36.59,7,10,0.913,3230.0,0.769
2025-00262,2025-02-05,Talcahuano,furgon,16.25,8.38,8,16,0.4324,4365.0,1.13
2025-00915,2025-02-05,Talcahuano,furgon,9.04,26.91,3,11,0.4485,1656.0,0.502
2025-00388,2025-02-06,Talcahuano,furgon,27.69,11.27,7,9,,5563.0,1.49
2025-00769,2025-02-06,Los Angeles,furgon,56.84,26.92,2,17,,11721.0,2.683
2025-00918,2025-02-07,Penco,moto,14.16,2.33,5,19,0.602,4225.0,1.163
2025-00155,2025-02-07,Los Angeles,furgon,19.43,15.64,2,18,,3793.0,0.954
2025-00568,2025-02-07,Los Angeles,furgon,99.82,18.02,3,7,,19694.0,4.782
2025-00654,2025-02-07,Hualqui,moto,26.41,6.72,8,13,,3352.0,0.781
2025-01197,2025-02-07,Hualpen,moto,19.86,19.47,8,8,0.5812,4673.0,1.142
2025-00427,2025-02-08,Lebu,furgon,54.01,33.4,1,14,0.6968,9881.0,2.187
2025-00602,2025-02-08,Los Angeles,moto,93.82,34.68,5,13,,10958.0,2.541
2025-00397,2025-02-09,Yumbel,furgon,69.21,40.65,1,17,0.8023,10883.0,2.923
2025-01382,2025-02-09,Penco,furgon,23.23,32.65,8,10,0.5673,6534.0,1.43
2025-01378,2025-02-09,Chiguayante,camion_ligero,22.98,1.75,5,17,0.3588,8742.0,1.932
2025-01319,2025-02-10,Yumbel,moto,64.2,11.55,3,15,0.5808,8604.0,2.125
2025-00378,2025-02-10,Chiguayante,camion_ligero,14.32,7.73,5,6,0.472,3671.0,0.814
2025-00609,2025-02-11,Hualqui,camion_ligero,12.7,7.53,3,19,0.6618,3528.0,0.696
2025-00375,2025-02-11,Penco,furgon,27.31,25.37,6,17,0.6434,5801.0,1.768
2025-00603,2025-02-11,Coronel,furgon,15.41,23.9,3,7,,3460.0,0.824
2025-00988,2025-02-11,Concepcion,moto,22.75,11.44,6,9,0.8001,3790.0,0.961
2025-00335,2025-02-11,Hualpen,camion_ligero,19.05,14.5,4,16,0.5686,4339.0,0.898
2025-00286,2025-02-11,Yumbel,moto,66.79,1.91,6,12,,9166.0,2.178
2025-00763,2025-02-12,Concepcion,moto,26.69,22.89,2,10,0.7192,4326.0,0.999
2025-01188,2025-02-13,Talcahuano,moto,9.87,41.79,1,10,0.5354,1908.0,0.292
2025-00160,2025-02-13,Tome,moto,24.87,3.89,7,14,0.8615,1552.0,0.476
2025-01096,2025-02-14,Concepcion,moto,30.88,43.22,6,17,0.5879,5875.0,1.514
2025-00230,2025-02-14,Hualqui,moto,12.27,10.1,2,18,0.5432,2881.0,0.796
2025-00950,2025-02-14,Lebu,furgon,83.91,45.35,8,13,0.5865,15768.0,3.604
2025-01074,2025-02-14,Concepcion,moto,19.09,27.3,8,12,0.7006,3409.0,1.089
2025-00209,2025-02-14,Talcahuano,moto,23.93,21.27,8,17,0.4025,5965.0,1.2
2025-00856,2025-02-14,Curanilahue,moto,48.2,17.32,5,7,0.6792,7669.0,1.874
2025-00677,2025-02-14,Chiguayante,moto,12.79,49.14,6,17,,5089.0,1.169
2025-01068,2025-02-15,Concepcion,camion_ligero,28.45,21.52,8,16,0.3813,7095.0,1.942
2025-01114,2025-02-15,Nacimiento,camion_ligero,31.93,34.58,5,8,,8099.0,1.786
2025-00382,2025-02-16,Chiguayante,moto,10.21,30.25,7,13,0.5763,3308.0,0.823
2025-01032,2025-02-16,San Pedro de la Paz,camion_ligero,20.69,26.5,6,11,0.6614,4514.0,1.203
2025-00901,2025-02-16,San Pedro de la Paz,moto,19.35,13.57,3,13,0.6357,3241.0,0.777
2025-01110,2025-02-16,Florida,furgon,19.42,16.39,5,13,0.6285,3522.0,0.876
2025-00765,2025-02-16,Tome,furgon,15.15,29.91,3,7,,3665.0,0.831
2025-01103,2025-02-17,Florida,moto,13.09,4.96,5,17,1.0,1782.0,0.485
2025-00898,2025-02-17,Talcahuano,furgon,17.61,17.1,4,12,0.7385,4129.0,0.829
2025-00961,2025-02-17,Chiguayante,furgon,21.01,17.12,8,9,0.8396,5414.0,1.228
2025-01083,2025-02-17,Florida,furgon,22.13,20.46,1,16,0.4574,5663.0,1.122
2025-01030,2025-02-17,Laja,camion_ligero,79.84,25.97,5,9,,20757.0,4.705
2025-00756,2025-02-18,Cabrero,moto,22.28,21.53,4,12,,4346.0,1.01
2025-00812,2025-02-18,San Pedro de la Paz,furgon,14.94,43.14,3,11,0.7482,4031.0,0.948
2025-01094,2025-02-18,Arauco,moto,74.38,10.94,1,16,,10004.0,2.496
2025-00919,2025-02-18,Penco,furgon,9.13,2.34,6,11,0.5515,3249.0,0.821
2025-00282,2025-02-19,Concepcion,moto,13.38,55.88,2,13,0.5172,2836.0,0.75
2025-00607,2025-02-20,Concepcion,moto,18.88,7.07,2,10,,3688.0,0.72
2025-00713,2025-02-20,Lebu,moto,46.5,25.57,1,11,0.6738,6078.0,1.42
2025-00380,2025-02-20,Lota,camion_ligero,19.7,50.27,8,8,0.6953,6697.0,1.557
2025-00344,2025-02-20,Curanilahue,furgon,48.58,4.85,2,19,,10353.0,2.595
2025-00364,2025-02-20,Laja,furgon,22.85,31.11,7,19,,4294.0,1.332
2025-00073,2025-02-21,Lota,moto,15.63,11.25,7,9,,4058.0,1.074
2025-00847,2025-02-21,Florida,moto,22.45,10.79,4,9,0.4711,4341.0,1.179
2025-00826,2025-02-21,San Pedro de la Paz,furgon,25.33,8.97,7,10,0.7429,4851.0,1.287
2025-00877,2025-02-21,Hualqui,furgon,15.12,29.79,1,12,0.9725,1420.0,0.693
2025-00633,2025-02-21,Arauco,furgon,39.34,10.85,2,8,,6429.0,1.543
2025-00589,2025-02-22,Lota,camion_ligero,16.04,51.85,7,8,0.8339,6150.0,1.274
2025-00941,2025-02-23,Lebu,furgon,100.47,4.24,3,18,,20715.0,5.099
2025-01016,2025-02-23,Laja,moto,24.23,11.56,1,8,,4364.0,0.935
2025-00585,2025-02-23,Laja,moto,47.01,79.85,2,9,,9069.0,1.976
2025-00673,2025-02-23,Arauco,furgon,38.19,32.11,2,6,0.6017,4753.0,1.233
2025-00711,2025-02-23,Coronel,moto,29.18,15.5,6,6,0.7962,1906.0,0.635
2025-00381,2025-02-23,Lebu,moto,39.46,23.92,5,12,,6645.0,1.473
2025-00363,2025-02-24,Hualqui,camion_ligero,20.22,32.98,7,14,0.9157,3321.0,0.848
2025-00341,2025-02-24,Yumbel,moto,62.09,39.08,3,13,0.8535,6394.0,1.697
2025-00122,2025-02-24,Los Angeles,furgon,68.38,9.93,2,17,,13302.0,3.054
2025-00665,2025-02-24,Hualqui,moto,23.58,16.89,3,11,,4640.0,0.992
2025-00194,2025-02-24,Lebu,furgon,55.54,8.49,2,6,,8777.0,2.089
2025-00246,2025-02-24,Penco,furgon,24.88,14.95,2,9,0.5255,6477.0,1.51
2025-00863,2025-02-24,San Pedro de la Paz,moto,16.22,13.39,3,17,0.6781,3976.0,0.951
2025-00758,2025-02-25,Lota,camion_ligero,10.5,39.98,8,7,0.5138,2848.0,1.074
2025-00110,2025-02-25,Lota,furgon,21.98,32.55,2,17,0.8906,4190.0,0.98
2025-00867,2025-02-26,Lota,furgon,23.31,26.76,5,17,0.7637,5280.0,1.332
2025-01092,2025-02-26,Hualpen,furgon,16.58,15.28,1,8,0.5014,3836.0,0.983
2025-00695,2025-02-26,Tome,furgon,17.04,47.71,1,14,0.5051,2960.0,0.71
2025-00766,2025-02-26,Hualpen,furgon,21.19,26.8,3,8,0.557,3883.0,1.213
2025-00167,2025-02-26,Santa Juana,camion_ligero,12.2,2.77,1,7,0.729,3640.0,0.734
2025-00222,2025-02-26,Concepcion,camion_ligero,25.43,20.13,6,8,0.9827,5969.0,1.31
2025-00946,2025-02-27,Arauco,moto,35.44,6.7,6,8,,6438.0,1.586
2025-00996,2025-02-27,Florida,moto,29.08,9.6,1,14,,4196.0,0.925
2025-00690,2025-02-27,Arauco,furgon,65.71,8.07,4,9,,13706.0,3.366
2025-01072,2025-02-27,San Pedro de la Paz,camion_ligero,17.02,4.4,6,9,0.5239,5713.0,1.265
2025-00134,2025-02-27,Curanilahue,furgon,62.38,27.19,7,6,,11607.0,3.225
2025-00256,2025-02-28,Concepcion,moto,26.42,10.69,6,16,0.6616,3658.0,0.863
2025-00629,2025-02-28,Talcahuano,furgon,29.76,2.59,7,11,0.4205,6465.0,1.463
2025-01262,2025-02-28,Tome,camion_ligero,32.12,28.65,7,11,,7465.0,1.985
2025-00880,2025-03-01,Chiguayante,furgon,25.38,0.88,6,8,0.5261,7396.0,1.665
2025-00443,2025-03-01,Florida,camion_ligero,12.78,18.94,6,12,0.5443,4782.0,0.975
2025-00353,2025-03-01,Penco,furgon,4.61,20.04,8,18,0.4378,2023.0,0.583
2025-00156,2025-03-02,Florida,moto,18.78,16.28,8,10,0.5986,5239.0,1.212
2025-00077,2025-03-02,San Pedro de la Paz,furgon,12.86,24.21,5,13,0.6575,1325.0,0.611
2025-00432,2025-03-02,Florida,camion_ligero,11.7,35.61,4,9,0.9263,4212.0,0.858
2025-00401,2025-03-03,Talcahuano,furgon,10.83,18.29,1,15,0.5477,1258.0,0.365
2025-01025,2025-03-03,Laja,moto,69.41,8.7,6,17,0.7,11206.0,2.673
2025-00257,2025-03-03,Los Angeles,camion_ligero,48.74,23.79,2,15,0.4881,6725.0,1.987
2025-00621,2025-03-03,San Pedro de la Paz,camion_ligero,15.81,27.56,4,11,0.441,5003.0,1.167
2025-01179,2025-03-03,Cabrero,moto,68.96,10.08,4,10,,7295.0,1.8
2025-00561,2025-03-04,Penco,furgon,12.53,32.92,6,7,0.6534,3493.0,1.021
2025-01282,2025-03-04,Hualpen,furgon,27.7,21.09,3,17,0.7155,6557.0,1.448
2025-00931,2025-03-04,Curanilahue,camion_ligero,57.59,7.9,1,7,0.793,13791.0,3.045
2025-00587,2025-03-04,Talcahuano,furgon,16.87,8.67,1,17,,994.0,0.575
2025-00854,2025-03-04,Penco,furgon,21.35,36.54,6,16,,4741.0,0.853
2025-00869,2025-03-05,Santa Juana,furgon,36.6,18.06,6,7,0.5158,9288.0,1.944
2025-00423,2025-03-05,Lebu,moto,85.57,9.57,8,13,,10877.0,2.107
2025-00781,2025-03-05,Penco,furgon,29.89,23.03,6,13,0.7343,4600.0,1.306
2025-00669,2025-03-05,Santa Juana,furgon,15.17,3.0,3,14,1.0,1804.0,0.452
2025-00557,2025-03-05,Tome,camion_ligero,24.96,9.77,1,14,0.4935,3566.0,0.901
2025-01345,2025-03-06,Talcahuano,moto,13.06,12.02,4,14,0.8633,3543.0,0.558
2025-01162,2025-03-07,Curanilahue,moto,83.51,16.13,4,6,0.3599,14350.0,3.206
2025-00693,2025-03-07,Los Angeles,moto,78.47,8.72,7,13,,10356.0,2.298
2025-01354,2025-03-07,Coronel,furgon,10.78,14.19,7,11,0.5006,2983.0,0.702
2025-00745,2025-03-07,Tome,moto,5.05,37.74,3,16,0.8503,2745.0,0.495
2025-00238,2025-03-07,Arauco,furgon,58.01,46.26,8,11,0.5848,9541.0,2.37
2025-00176,2025-03-08,Penco,camion_ligero,18.13,30.64,1,19,0.7325,5356.0,1.25
2025-00076,2025-03-09,Los Angeles,furgon,37.24,26.0,6,19,0.4093,8259.0,2.097
2025-00628,2025-03-10,Chiguayante,camion_ligero,4.4,14.75,6,16,,1191.0,0.414
2025-00275,2025-03-10,Coronel,moto,4.69,8.12,8,14,0.447,3149.0,0.57
2025-00884,2025-03-10,San Pedro de la Paz,camion_ligero,28.98,18.07,5,7,0.6113,8994.0,1.908
2025-01053,2025-03-11,Nacimiento,moto,61.84,23.58,3,14,0.5839,10099.0,2.118
2025-01033,2025-03-11,Hualpen,furgon,10.82,30.61,6,6,0.8573,3683.0,0.677
2025-00843,2025-03-11,Hualqui,moto,14.41,10.92,3,17,0.5883,2775.0,0.472
2025-00935,2025-03-11,Concepcion,moto,25.94,6.82,8,12,0.7111,4959.0,1.15
2025-00653,2025-03-12,Laja,furgon,64.05,10.31,6,8,,13115.0,3.134
2025-00530,2025-03-12,Nacimiento,camion_ligero,71.07,33.83,1,10,0.4881,13410.0,3.137
2025-00715,2025-03-12,Chiguayante,furgon,8.3,40.97,7,12,0.67,3504.0,0.777
2025-01183,2025-03-13,Hualpen,furgon,8.13,4.13,5,18,0.299,2232.0,0.54
2025-01167,2025-03-13,Cabrero,camion_ligero,29.02,36.34,2,15,0.3941,7073.0,1.661
2025-00907,2025-03-13,Penco,furgon,15.57,19.72,3,16,0.4859,3919.0,0.97
2025-00308,2025-03-14,Tome,furgon,3.77,43.19,6,7,0.584,1972.0,0.416
2025-00761,2025-03-14,Yumbel,camion_ligero,79.55,20.76,6,7,0.5411,19621.0,5.04
2025-00916,2025-03-14,Nacimiento,camion_ligero,66.91,18.06,7,16,0.6529,11996.0,3.339
2025-00511,2025-03-14,Hualqui,furgon,16.44,19.41,6,15,,3509.0,0.818
2025-00710,2025-03-15,Curanilahue,furgon,74.25,10.69,5,8,0.6047,14763.0,3.494
2025-00311,2025-03-15,Curanilahue,furgon,84.42,10.71,7,7,,18595.0,4.318
2025-01184,2025-03-15,Concepcion,moto,15.97,42.09,7,14,0.5941,5046.0,1.193
2025-00501,2025-03-15,Hualqui,furgon,25.96,32.13,3,15,0.5928,4576.0,1.128
2025-00258,2025-03-15,Hualpen,camion_ligero,20.94,2.51,7,14,,3651.0,1.025
2025-01307,2025-03-15,Tome,furgon,31.29,10.48,3,11,0.6189,5159.0,1.312
2025-00385,2025-03-15,Penco,moto,11.29,9.8,6,10,,3365.0,0.873
2025-00013,2025-03-15,Chiguayante,moto,12.44,2.44,8,9,0.6466,3775.0,0.996
2025-00600,2025-03-16,San Pedro de la Paz,furgon,15.56,15.7,5,7,0.9188,3789.0,0.985
2025-00083,2025-03-16,Florida,moto,11.77,4.41,8,15,0.7284,1438.0,0.421
2025-01200,2025-03-16,Los Angeles,furgon,47.05,6.09,7,11,,8018.0,2.068
2025-00513,2025-03-16,Arauco,furgon,61.45,12.12,1,8,,12138.0,3.11
2025-00582,2025-03-17,Concepcion,furgon,18.89,41.79,7,19,0.7276,5115.0,1.086
2025-00966,2025-03-18,Florida,furgon,5.14,15.8,2,7,0.5705,1743.0,0.406
2025-01004,2025-03-18,Arauco,camion_ligero,68.37,11.24,3,13,,13773.0,3.061
2025-01088,2025-03-18,Concepcion,camion_ligero,21.64,15.71,6,12,0.5233,5213.0,1.245
2025-00468,2025-03-18,Hualpen,furgon,13.5,25.91,1,18,0.6242,4646.0,0.83
2025-01399,2025-03-18,Los Angeles,moto,44.07,28.86,2,6,,7344.0,1.724
2025-00860,2025-03-19,Concepcion,moto,22.67,9.02,3,9,,3759.0,1.181
2025-00292,2025-03-20,Coronel,moto,24.91,6.09,1,17,0.5446,3189.0,1.098
2025-00051,2025-03-21,Nacimiento,camion_ligero,67.3,32.78,6,18,,18271.0,4.257
2025-01098,2025-03-21,Coronel,furgon,27.86,12.6,6,18,0.7592,5946.0,1.517
2025-00354,2025-03-21,Penco,furgon,7.43,8.02,7,8,0.4349,5226.0,0.935
2025-00491,2025-03-22,Lebu,moto,68.09,3.57,4,17,,11318.0,2.773
2025-00743,2025-03-22,Los Angeles,moto,31.84,41.06,3,16,,4427.0,1.081
2025-01278,2025-03-22,Concepcion,furgon,11.91,5.22,8,8,0.4426,3584.0,0.829
