id_entrega,fecha,comuna_destino,tipo_vehiculo,distancia_km,peso_kg,n_paquetes,hora_salida,score_gps_ruta,costo_combustible_clp,horas_entrega
2024-00142,2024-02-04,Hualpen,furgon,30.59,37.63,1,8,0.4308,8252.0,1.649
2024-01057,2024-02-04,San Pedro de la Paz,furgon,11.94,12.43,4,10,0.5315,1342.0,0.371
2024-00369,2024-02-05,Santa Juana,furgon,35.97,14.19,2,6,0.7184,4700.0,1.125
2024-00029,2024-02-05,Hualqui,camion_ligero,24.32,24.96,3,17,0.8328,6252.0,1.642
2024-00829,2024-02-05,Talcahuano,moto,17.88,32.98,1,8,0.6217,4591.0,0.893
2024-01094,2024-02-05,San Pedro de la Paz,moto,27.03,20.04,6,18,0.7943,4353.0,1.21
2024-00602,2024-02-06,Chiguayante,furgon,14.9,10.03,6,9,0.4887,4563.0,1.089
2024-01100,2024-02-06,Penco,furgon,19.35,37.78,1,17,0.8906,2120.0,0.837
2024-00772,2024-02-06,Chiguayante,moto,13.05,36.36,5,7,0.6976,2490.0,0.443
2024-00529,2024-02-06,San Pedro de la Paz,furgon,25.02,17.4,5,7,0.5823,6986.0,1.524
2024-00023,2024-02-07,Florida,moto,12.34,8.93,6,8,0.4739,2479.0,0.573
2024-00182,2024-02-07,Penco,moto,17.61,16.44,3,15,0.621,3899.0,0.726
2024-01047,2024-02-07,Hualpen,furgon,12.2,21.15,8,7,0.6448,5847.0,1.084
2024-00441,2024-02-07,Penco,moto,17.61,15.11,1,17,0.4643,822.0,0.485
2024-00911,2024-02-08,Lota,furgon,6.95,17.18,4,7,0.6384,2892.0,0.775
2024-01162,2024-02-08,Concepcion,furgon,24.74,14.89,3,18,0.8892,4545.0,1.133
2024-00704,2024-02-08,Chiguayante,furgon,14.4,7.26,8,7,0.4192,4971.0,1.294
2024-00640,2024-02-09,Coronel,furgon,16.41,11.83,1,17,0.8831,2896.0,0.602
2024-00856,2024-02-09,Penco,furgon,29.13,22.8,7,18,0.7135,5961.0,1.454
2024-00870,2024-02-09,San Pedro de la Paz,moto,15.71,9.86,7,15,0.44,4513.0,1.004
2024-00161,2024-02-10,Penco,camion_ligero,27.94,5.63,1,6,0.4854,7310.0,1.611
2024-00920,2024-02-10,Santa Juana,moto,20.74,8.92,3,6,0.731,1338.0,0.324
2024-00735,2024-02-10,Concepcion,camion_ligero,2.79,7.07,1,15,0.6758,557.0,0.253
2024-00652,2024-02-11,Hualpen,moto,6.94,41.26,7,10,0.3344,3494.0,0.777
2024-00510,2024-02-11,Hualqui,furgon,17.47,34.46,7,6,0.742,3944.0,0.931
2024-01071,2024-02-11,Chiguayante,furgon,8.74,2.44,8,14,0.6077,2367.0,0.675
2024-01186,2024-02-11,Penco,furgon,21.7,18.63,7,10,0.5401,5179.0,1.187
2024-00828,2024-02-12,Concepcion,moto,13.04,10.23,6,18,1.0,2659.0,0.75
2024-00362,2024-02-12,Santa Juana,camion_ligero,7.1,17.45,3,17,0.3791,2929.0,0.678
2024-00304,2024-02-12,Santa Juana,furgon,20.59,14.79,1,7,0.5006,4182.0,1.034
2024-00744,2024-02-12,Talcahuano,furgon,11.71,75.6,8,19,0.6645,5922.0,1.264
2024-00706,2024-02-13,Santa Juana,furgon,22.11,21.08,6,13,0.5162,4454.0,1.068
2024-00505,2024-02-13,Penco,moto,2.0,14.23,7,9,0.8958,67.0,0.234
2024-00178,2024-02-13,Hualqui,furgon,20.7,39.41,6,13,0.333,4617.0,1.234
2024-00016,2024-02-13,Concepcion,camion_ligero,11.89,32.7,5,13,0.726,4631.0,1.015
2024-01184,2024-02-14,Chiguayante,moto,24.08,7.21,1,15,0.5201,2571.0,0.67
2024-00954,2024-02-14,Hualpen,camion_ligero,14.93,31.07,8,9,0.4274,6660.0,1.561
2024-00303,2024-02-14,Hualpen,furgon,21.68,22.69,4,19,0.6307,3942.0,1.05
2024-00734,2024-02-14,Concepcion,moto,17.18,3.19,2,11,0.3642,2058.0,0.545
2024-01107,2024-02-14,San Pedro de la Paz,furgon,23.84,64.78,5,18,0.7422,6836.0,1.451
2024-00833,2024-02-14,Florida,camion_ligero,23.95,22.91,1,19,0.6154,4700.0,1.437
2024-00782,2024-02-15,Chiguayante,furgon,17.27,1.03,5,15,0.6345,2904.0,0.725
2024-00271,2024-02-15,Hualpen,camion_ligero,17.38,27.81,3,14,0.3463,4615.0,1.089
2024-00970,2024-02-16,San Pedro de la Paz,furgon,9.68,33.44,7,11,0.8022,1955.0,0.455
2024-00490,2024-02-16,Concepcion,camion_ligero,24.03,7.78,4,11,0.5444,5667.0,1.065
2024-00791,2024-02-16,Hualpen,furgon,23.35,32.41,8,14,0.9952,4986.0,1.134
2024-01180,2024-02-17,Chiguayante,furgon,12.08,11.52,5,10,0.4956,3050.0,0.815
2024-00310,2024-02-17,Hualpen,furgon,19.88,28.18,5,18,0.5216,4615.0,1.285
2024-00183,2024-02-17,Florida,furgon,24.06,25.02,3,6,0.7935,3404.0,1.212
2024-00046,2024-02-17,Hualqui,furgon,19.73,15.17,1,15,0.5544,3532.0,0.816
2024-00799,2024-02-18,Florida,furgon,13.48,38.94,6,9,0.5652,4483.0,1.012
2024-00629,2024-02-19,Lota,moto,15.02,37.5,5,8,0.2653,4686.0,1.085
2024-00230,2024-02-19,Lota,furgon,33.87,14.73,8,15,0.5449,4672.0,1.336
2024-00645,2024-02-19,Talcahuano,camion_ligero,32.66,30.68,5,18,0.3989,8563.0,2.267
2024-00221,2024-02-19,Hualqui,furgon,15.88,9.01,6,16,0.7559,3850.0,0.761
2024-00588,2024-02-19,Hualpen,furgon,19.69,16.07,7,14,0.637,4963.0,1.227
2024-00578,2024-02-20,Concepcion,furgon,18.6,41.68,7,9,0.5254,3307.0,1.093
2024-00207,2024-02-20,Chiguayante,camion_ligero,17.53,8.2,5,16,0.9785,1437.0,0.698
2024-00389,2024-02-20,Hualpen,furgon,23.23,7.84,6,7,0.4123,6373.0,1.429
2024-00853,2024-02-20,Florida,moto,15.95,42.12,2,18,0.705,2576.0,0.68
2024-00400,2024-02-20,Lota,moto,12.74,14.64,1,14,0.4595,2194.0,0.532
2024-00963,2024-02-21,Chiguayante,furgon,15.98,2.93,1,17,0.3772,4562.0,0.887
2024-00281,2024-02-21,Concepcion,camion_ligero,29.91,12.49,4,7,0.5166,8824.0,2.202
2024-01002,2024-02-21,San Pedro de la Paz,furgon,8.13,25.57,6,16,0.7655,1558.0,0.481
2024-00422,2024-02-22,Talcahuano,furgon,15.42,5.29,3,13,0.5881,4671.0,1.04
2024-00601,2024-02-22,San Pedro de la Paz,moto,17.51,70.27,3,18,0.1283,6960.0,1.634
2024-00654,2024-02-22,Lota,moto,20.69,22.23,3,7,0.6889,4729.0,1.161
2024-00904,2024-02-22,Hualqui,camion_ligero,19.68,4.17,3,12,0.7678,6453.0,1.153
2024-01063,2024-02-23,Penco,furgon,13.13,10.29,6,13,0.645,4615.0,0.967
2024-00255,2024-02-23,Tome,furgon,29.89,0.68,6,11,0.5498,4645.0,1.12
2024-00091,2024-02-23,Penco,furgon,24.91,11.19,6,11,0.647,5023.0,1.145
2024-01144,2024-02-24,Florida,moto,23.59,12.76,2,8,0.7706,1742.0,0.606
2024-00495,2024-02-24,Coronel,moto,15.27,27.46,5,9,0.4171,4224.0,0.902
2024-00089,2024-02-24,Chiguayante,moto,12.88,10.54,7,8,0.6496,2696.0,0.631
2024-00506,2024-02-24,Penco,camion_ligero,31.82,11.18,1,14,0.4422,5306.0,1.511
2024-00993,2024-02-25,Chiguayante,moto,14.25,21.71,1,14,0.699,2336.0,0.548
2024-00375,2024-02-25,Penco,camion_ligero,19.48,11.39,4,19,0.904,5334.0,1.029
2024-00347,2024-02-25,Santa Juana,furgon,6.73,22.88,7,17,0.889,2598.0,0.58
2024-00353,2024-02-26,Coronel,moto,11.47,23.41,1,19,0.5348,3810.0,0.966
2024-00527,2024-02-26,Coronel,furgon,27.87,15.38,3,6,0.6971,4832.0,1.147
2024-01085,2024-02-26,San Pedro de la Paz,furgon,19.25,19.76,6,12,0.563,3538.0,0.8
2024-00117,2024-02-26,San Pedro de la Paz,moto,25.79,27.61,5,17,0.7281,5299.0,1.169
2024-00109,2024-02-27,Santa Juana,furgon,10.39,16.63,4,16,0.5553,884.0,0.517
2024-00531,2024-02-28,Penco,furgon,14.29,20.86,5,14,1.0,271.0,0.327
2024-00769,2024-02-28,Lota,furgon,22.21,16.01,2,16,0.6835,2558.0,0.733
2024-00755,2024-02-28,San Pedro de la Paz,furgon,17.91,14.67,5,19,0.8598,3687.0,1.039
2024-00918,2024-02-29,Hualpen,furgon,11.94,5.13,7,13,0.5432,1812.0,0.6
2024-00306,2024-02-29,Coronel,moto,32.37,23.39,5,7,0.5266,5688.0,1.386
2024-00238,2024-02-29,Chiguayante,furgon,16.62,7.78,1,19,0.7778,2862.0,0.552
2024-00605,2024-02-29,Santa Juana,moto,27.18,16.55,1,11,0.6913,3032.0,0.975
2024-00596,2024-02-29,Coronel,camion_ligero,25.92,19.97,5,13,0.5932,5520.0,1.277
2024-00100,2024-02-29,Florida,moto,10.2,3.59,5,12,0.7341,1607.0,0.584
2024-00926,2024-02-29,Hualqui,furgon,18.7,4.09,6,10,0.7685,2989.0,0.602
2024-00099,2024-03-01,Hualpen,camion_ligero,14.78,28.02,1,11,0.7103,2309.0,0.797
2024-00287,2024-03-01,Tome,moto,7.38,21.98,5,6,0.7423,2505.0,0.591
2024-00945,2024-03-01,Hualpen,furgon,10.71,52.38,5,8,0.4497,5640.0,1.076
2024-01069,2024-03-02,Hualpen,furgon,26.63,22.45,7,6,0.5312,5209.0,1.421
2024-01035,2024-03-02,Concepcion,furgon,21.29,11.42,4,9,0.4853,4740.0,1.139
2024-00384,2024-03-03,Santa Juana,furgon,20.07,92.84,7,14,0.5048,5477.0,1.461
2024-00192,2024-03-03,Talcahuano,moto,22.87,41.96,3,15,0.5184,3016.0,0.988
2024-01060,2024-03-03,San Pedro de la Paz,moto,18.12,16.08,3,6,0.4,3081.0,0.881
2024-00341,2024-03-04,Santa Juana,furgon,11.84,7.0,1,17,0.7166,1527.0,0.439
2024-00168,2024-03-04,Hualpen,furgon,15.41,7.2,1,6,0.4736,3609.0,0.59
2024-00087,2024-03-04,Penco,moto,15.37,10.53,5,12,0.4988,3511.0,0.72
2024-00335,2024-03-04,Hualqui,furgon,25.88,20.62,5,7,0.554,7387.0,1.629
2024-00746,2024-03-05,Tome,moto,20.78,27.07,6,16,0.656,3428.0,0.699
2024-00387,2024-03-05,Penco,moto,20.87,1.53,4,15,0.5053,2910.0,0.519
2024-01143,2024-03-05,Coronel,furgon,15.44,29.75,5,17,0.5873,5094.0,1.12
2024-00841,2024-03-06,Tome,furgon,25.77,22.12,7,11,0.5345,5638.0,1.386
2024-01175,2024-03-06,San Pedro de la Paz,furgon,15.42,13.71,1,9,0.631,3658.0,0.542
2024-00733,2024-03-06,Hualqui,moto,20.6,15.66,3,8,1.0,3451.0,0.651
2024-00661,2024-03-06,Penco,furgon,20.55,14.32,8,18,0.5023,4244.0,1.199
2024-01093,2024-03-06,Concepcion,furgon,18.81,10.94,1,18,0.952,4956.0,0.997
2024-01059,2024-03-06,Lota,camion_ligero,13.12,54.34,7,15,0.9628,4677.0,1.053
2024-00491,2024-03-06,Coronel,furgon,5.15,16.19,6,18,0.8967,3087.0,0.634
2024-00822,2024-03-07,Hualpen,furgon,20.43,6.39,2,17,0.7678,4059.0,1.008
2024-00657,2024-03-07,Hualqui,camion_ligero,21.09,21.7,3,8,0.7427,4529.0,1.032
2024-01188,2024-03-07,San Pedro de la Paz,moto,5.58,37.74,7,9,0.3024,2754.0,0.802
2024-00474,2024-03-08,Tome,camion_ligero,6.57,29.22,8,16,0.5753,3452.0,1.12
2024-00354,2024-03-08,Concepcion,moto,13.65,12.77,6,8,0.7961,1374.0,0.488
2024-01108,2024-03-08,San Pedro de la Paz,furgon,18.92,24.68,3,16,0.7937,3010.0,0.726
2024-01196,2024-03-08,Concepcion,furgon,27.23,9.31,2,19,0.7031,3399.0,1.023
2024-00536,2024-03-08,San Pedro de la Paz,moto,16.23,22.01,5,13,0.4642,4427.0,0.972
2024-00414,2024-03-09,Florida,moto,9.79,4.32,7,19,0.305,4561.0,0.974
2024-00943,2024-03-09,Coronel,furgon,19.22,7.57,1,13,0.4191,4338.0,1.033
2024-01036,2024-03-10,Tome,furgon,22.89,26.68,4,8,0.623,4943.0,1.093
2024-00433,2024-03-10,Hualpen,camion_ligero,13.6,30.27,6,8,0.5916,5906.0,1.342
2024-00186,2024-03-10,Florida,moto,24.81,48.27,5,11,0.4708,5198.0,1.056
2024-00632,2024-03-10,San Pedro de la Paz,moto,4.04,14.44,7,19,0.6025,2713.0,0.629
2024-00862,2024-03-11,San Pedro de la Paz,camion_ligero,20.48,14.69,6,12,0.6667,4162.0,1.076
2024-00806,2024-03-12,Chiguayante,furgon,19.31,13.75,8,15,0.6131,2428.0,0.673
2024-00323,2024-03-13,Penco,moto,11.51,4.24,5,19,0.5579,1777.0,0.748
2024-00139,2024-03-13,Lota,furgon,21.8,34.44,7,16,0.9,3936.0,0.881
2024-00173,2024-03-13,San Pedro de la Paz,furgon,26.85,21.14,5,16,0.7675,3705.0,0.984
2024-00785,2024-03-13,Hualpen,furgon,9.26,2.66,3,19,0.6125,3910.0,1.004
2024-00227,2024-03-14,Talcahuano,camion_ligero,15.39,22.39,7,15,0.6549,5607.0,1.296
2024-00881,2024-03-14,Hualqui,camion_ligero,16.22,6.75,6,14,0.5325,2617.0,0.66
2024-01131,2024-03-15,Coronel,moto,12.09,4.09,8,12,0.6125,3059.0,0.765
2024-00973,2024-03-15,Penco,furgon,20.4,19.55,2,17,0.5934,4096.0,1.197
2024-00754,2024-03-15,Lota,moto,13.26,38.51,7,12,0.8107,4207.0,0.833
2024-00530,2024-03-15,San Pedro de la Paz,furgon,11.54,8.21,4,14,0.4404,3077.0,0.616
2024-00753,2024-03-16,Santa Juana,furgon,28.23,22.65,1,8,0.4743,5687.0,1.449
2024-00452,2024-03-16,Chiguayante,moto,23.36,17.03,2,6,0.6945,2615.0,0.729
2024-00336,2024-03-16,Hualqui,moto,11.18,17.66,4,9,0.4909,2996.0,0.658
2024-00658,2024-03-17,Chiguayante,moto,24.03,43.88,8,13,0.5869,5717.0,1.485
2024-01095,2024-03-17,Concepcion,furgon,14.44,24.19,7,13,0.4685,3926.0,0.935
2024-00233,2024-03-17,Tome,moto,10.17,21.09,8,6,0.831,3419.0,0.927
2024-00292,2024-03-17,Chiguayante,furgon,13.42,15.77,6,19,0.4467,4909.0,1.233
2024-01048,2024-03-17,Coronel,moto,17.33,27.29,5,17,0.3744,5896.0,1.329
2024-00432,2024-03-17,Concepcion,moto,24.14,6.35,1,18,0.6031,4379.0,0.953
2024-00167,2024-03-18,Talcahuano,furgon,18.38,18.35,5,16,0.4982,3385.0,0.918
2024-00819,2024-03-18,Coronel,furgon,15.63,19.62,7,18,0.6374,3691.0,0.926
2024-01078,2024-03-18,Talcahuano,camion_ligero,7.83,60.56,4,15,0.3566,4342.0,0.871
2024-01082,2024-03-18,Tome,furgon,14.01,44.55,5,6,0.766,3947.0,0.711
2024-01110,2024-03-18,Penco,camion_ligero,26.09,13.95,6,8,0.6071,7291.0,1.825
2024-00464,2024-03-18,San Pedro de la Paz,moto,10.84,28.12,5,8,0.7344,3300.0,0.958
2024-00916,2024-03-19,Tome,camion_ligero,20.26,16.03,4,19,0.6568,5186.0,1.337
2024-00702,2024-03-19,Concepcion,moto,26.11,4.32,5,12,0.8112,2815.0,0.724
2024-01099,2024-03-19,Lota,furgon,15.76,9.11,5,8,0.5556,4126.0,0.994
2024-00638,2024-03-20,Chiguayante,moto,18.78,59.87,8,6,0.7457,4242.0,1.07
2024-01163,2024-03-20,Talcahuano,moto,18.43,36.33,1,12,0.4662,1384.0,0.706
2024-00663,2024-03-20,Santa Juana,camion_ligero,15.17,23.86,3,16,0.5963,2850.0,0.622
2024-00671,2024-03-21,Florida,furgon,22.6,2.86,5,12,0.6146,3218.0,0.94
2024-00863,2024-03-21,Tome,moto,19.4,36.45,3,10,0.6519,3003.0,0.69
2024-00662,2024-03-21,Concepcion,furgon,10.41,22.52,7,18,0.461,4580.0,1.087
2024-00950,2024-03-22,Santa Juana,furgon,19.7,12.71,7,16,0.6894,4190.0,1.203
2024-01106,2024-03-22,San Pedro de la Paz,moto,14.82,17.94,2,12,0.6598,1375.0,0.233
2024-00677,2024-03-22,Hualqui,furgon,11.67,1.84,3,16,1.0,2509.0,0.757
2024-00357,2024-03-23,Penco,camion_ligero,38.09,5.08,4,18,0.6609,9866.0,2.105
