Suburb,Type,Regionname,Rooms,Distance,Price,pred_Random_Forest,pred_Gradient_Boosting,pred_HistGradientBoosting,suburbio_nuevo
Bentleigh East,t,Southern Metropolitan,3,13.9,970000.0,939242.1280832996,1001172.5935451277,1011349.3857781452,False
Bentleigh East,h,Southern Metropolitan,3,13.9,930000.0,977821.3154833673,1046768.5107828474,984240.3036665354,False
Bentleigh East,h,Southern Metropolitan,4,13.9,1510000.0,1193436.518896596,1306917.0318517857,1291593.3720738036,False
Bentleigh East,t,Southern Metropolitan,3,13.9,1240000.0,1007848.116445101,1044594.4535861054,1047441.1235154796,False
Bentleigh East,h,Southern Metropolitan,3,13.9,823000.0,877029.9832059027,892532.6597792555,836390.4693947603,False
Bentleigh East,h,Southern Metropolitan,4,13.9,1310000.0,1314451.235880041,1260112.6613095968,1269400.3582380533,False
Bentleigh East,h,Southern Metropolitan,4,13.9,1475000.0,1135537.5385172146,1295944.5255680764,1163342.5996589146,False
Bentleigh East,t,Southern Metropolitan,4,13.9,950000.0,1165663.8508550124,870407.2585837418,891962.8475247079,False
Bentleigh East,t,Southern Metropolitan,4,13.9,1325000.0,1419403.0963635922,1416096.6192728512,1602183.2276102619,False
Bentleigh East,u,Southern Metropolitan,3,13.9,770000.0,832671.151306404,629769.8247265758,738359.8235517119,False
Bentleigh East,h,Southern Metropolitan,3,13.9,1110000.0,1035607.8627907792,1184094.4324161483,1184587.9434536875,False
Bentleigh East,u,Southern Metropolitan,1,13.9,380000.0,409259.09394899284,378995.8923283977,364791.82217429264,False
Bentleigh East,h,Southern Metropolitan,4,13.9,1175000.0,1124463.996319212,1200119.4066973692,1118882.3663282401,False
Bentleigh East,h,Southern Metropolitan,3,13.9,1200000.0,1137685.0003945958,1094951.6428703845,1111068.4849330138,False
Bentleigh East,h,Southern Metropolitan,4,13.9,1370000.0,1265988.1959179165,1177992.344582889,1221702.4095629547,False
Bentleigh East,h,Southern Metropolitan,4,13.9,1433500.0,1346659.2842593766,1349554.2257476659,1349645.3780005774,False
Bentleigh East,h,Southern Metropolitan,2,13.9,1630000.0,1335356.7037741719,1217480.9068860922,1473446.1371267308,False
Bentleigh East,h,Southern Metropolitan,3,13.9,1360000.0,1063764.104385875,1103281.1840661732,1035360.8527786596,False
Box Hill,u,Eastern Metropolitan,2,13.1,645000.0,590818.9316000913,591127.7826932166,562055.5297350566,False
Box Hill,u,Eastern Metropolitan,2,13.1,790000.0,601238.192223757,626096.490252655,603260.1375675212,False
Box Hill,h,Eastern Metropolitan,4,13.1,880000.0,946395.1791952022,994862.6127015384,1127185.0438377014,False
Box Hill,u,Eastern Metropolitan,1,13.1,340000.0,312367.116708308,275191.8324560765,333133.28476101905,False
Box Hill,h,Eastern Metropolitan,4,13.1,1670000.0,1443138.5316940367,1447235.4404676848,1438146.2369192664,False
Braybrook,t,Western Metropolitan,3,10.8,502000.0,575257.6700353748,532060.5314258813,535726.6042436551,False
Braybrook,h,Western Metropolitan,3,10.8,730000.0,703806.4760401843,746352.8900684656,679311.1108143385,False
Braybrook,h,Western Metropolitan,3,10.8,696000.0,625507.9979205088,629865.1608755095,612590.6757569985,False
Braybrook,h,Western Metropolitan,3,10.8,765000.0,759385.8006746355,718049.9775595744,727504.5348041286,False
Braybrook,t,Western Metropolitan,2,10.8,475000.0,493220.5383840893,519259.7124304549,523221.51229206513,False
Brighton,u,Southern Metropolitan,2,11.2,1300000.0,917398.12439764,883624.6814451438,885558.750413221,False
Brighton,h,Southern Metropolitan,3,11.2,1390000.0,1512491.0737313377,1623534.400349486,1668864.3899601311,False
Brighton,h,Southern Metropolitan,4,11.2,4250000.0,3088855.98586874,2645191.5006911145,2939956.177831089,False
Brighton,h,Southern Metropolitan,4,11.2,2905000.0,2432978.359119074,2487948.4215126163,2473975.0141465915,False
Brighton,u,Southern Metropolitan,2,11.2,1300000.0,1123269.2542647915,1212820.0487716692,1196574.632698535,False
Brighton,t,Southern Metropolitan,3,11.2,1725000.0,1771488.791274879,1624420.787180453,1760634.2339072218,False
Brighton,h,Southern Metropolitan,3,11.2,2266000.0,1824269.4412511082,1976782.237598686,2033886.2286393433,False
Brighton,u,Southern Metropolitan,2,11.2,1300000.0,993669.6996704878,879034.0703851137,931087.7505440776,False
Brighton,h,Southern Metropolitan,3,11.2,2450000.0,1835258.8286834266,2134336.254279765,2409813.3975393823,False
Brighton,u,Southern Metropolitan,2,11.2,858000.0,642018.8571982384,672356.5617846919,640507.2437168323,False
Brighton,t,Southern Metropolitan,3,11.2,1427000.0,1651958.857002478,1554732.7874639102,1547262.899080368,False
Brighton,t,Southern Metropolitan,3,11.2,2517500.0,1645609.7538215532,1697833.7867166,1727418.3317416445,False
Brighton,h,Southern Metropolitan,4,11.2,2800000.0,2229386.1159291575,2347381.852167417,2332983.717002795,False
Brighton,h,Southern Metropolitan,4,11.2,2000000.0,1952108.755890474,1995651.1527124757,2039744.0166478553,False
Brighton,t,Southern Metropolitan,2,11.2,1230000.0,1046688.7306041382,1213468.657226343,1147765.1974126473,False
Brighton,h,Southern Metropolitan,3,11.2,2375000.0,1894775.033991212,2053007.125366618,2136710.2649907796,False
Brighton,t,Southern Metropolitan,2,11.2,1037000.0,744736.1726201052,987009.6079367157,868307.5460472375,False
Brighton,h,Southern Metropolitan,4,11.2,3050000.0,2583166.3687728625,3132192.5592165897,2964547.076427742,False
Brighton,t,Southern Metropolitan,4,11.2,1630000.0,1681834.1052520797,1996717.9665134847,1793225.656673057,False
Brighton,h,Southern Metropolitan,2,11.2,1701000.0,806000.5175496638,1195010.7799939867,1169558.8650321297,False
Brighton,u,Southern Metropolitan,2,11.2,760000.0,761372.3099412029,742562.0775601369,836374.3350789215,False
Brighton East,t,Southern Metropolitan,3,10.7,1302500.0,1512252.8748480168,1470547.959062103,1468771.253901966,False
Brighton East,h,Southern Metropolitan,2,10.7,1445000.0,1652626.7347534338,1444895.9857417138,1472225.8538124275,False
Brighton East,u,Southern Metropolitan,3,10.7,880000.0,756215.8890546524,936665.2796599951,904849.8889968145,False
Brighton East,h,Southern Metropolitan,4,10.7,1920000.0,2257552.3363782563,1866144.0727738529,1899687.477032178,False
Brighton East,u,Southern Metropolitan,2,10.7,770000.0,724408.7507586819,712841.1148114565,731227.5820194255,False
Brighton East,u,Southern Metropolitan,1,10.7,340000.0,353743.42190335004,290288.2339921752,321688.8731660681,False
Brighton East,h,Southern Metropolitan,3,10.7,1537000.0,1251129.9808695326,1343645.1623693435,1304425.5436336037,False
Brighton East,h,Southern Metropolitan,3,10.7,1100000.0,1419150.8573140055,1381560.4712341987,1440408.1461881944,False
Brighton East,h,Southern Metropolitan,2,10.7,994000.0,1453363.68151723,1392046.0497965766,1405715.9886647835,False
Brighton East,h,Southern Metropolitan,4,10.7,1447000.0,1626509.3795734572,1569558.2161257674,1428569.6714072796,False
Brunswick,h,Northern Metropolitan,4,5.2,2230000.0,1945977.7207891678,2175558.8401659857,1851162.8382368144,False
Brunswick,h,Northern Metropolitan,3,5.2,810000.0,919268.6003948313,1147003.758587647,1024959.1453171669,False
Brunswick,h,Northern Metropolitan,2,5.2,1105000.0,895718.6501729507,865304.2808161177,871930.639804466,False
Brunswick,h,Northern Metropolitan,2,5.2,1260000.0,916114.1387892256,1001752.892800325,990644.8293117746,False
Brunswick,t,Northern Metropolitan,3,5.2,955000.0,932599.8944951827,1012360.6901180835,889824.1093194755,False
Brunswick,t,Northern Metropolitan,1,5.2,895000.0,525747.2520932532,457728.8843671442,509340.0260661956,False
Brunswick,h,Northern Metropolitan,2,5.2,1094000.0,917596.7090911471,952435.444528172,905409.015420267,False
Brunswick,h,Northern Metropolitan,3,5.2,1135000.0,1208777.9762777928,1202176.9329781719,1302352.8319557686,False
Brunswick,u,Northern Metropolitan,2,5.2,501000.0,519425.598593988,494838.04327572306,512508.4239521266,False
Brunswick,h,Northern Metropolitan,3,5.2,1260000.0,1203886.5810325004,1417950.0980463119,1458261.816673426,False
Brunswick,h,Northern Metropolitan,3,5.2,1650000.0,1353509.8768795247,1328753.570720478,1369057.8656179945,False
Brunswick,u,Northern Metropolitan,2,5.2,601000.0,489471.2018472998,448699.11742444185,454661.17543765507,False
Brunswick,h,Northern Metropolitan,1,5.2,800000.0,840082.4024000523,841452.5625922717,850506.754787379,False
Brunswick,h,Northern Metropolitan,2,5.2,1015000.0,845050.4983499233,960516.6224221507,971916.6842031723,False
Brunswick,h,Northern Metropolitan,2,5.2,1020000.0,908744.8260739127,939082.8381289592,916440.4784189005,False
Brunswick,h,Northern Metropolitan,3,5.2,1510000.0,1155457.8040135028,1127520.5351909876,1107077.7054892601,False
Brunswick,t,Northern Metropolitan,2,5.2,801000.0,742388.5045,716925.5421247676,780466.5798054135,False
Brunswick,t,Northern Metropolitan,3,5.2,820000.0,905781.8208504976,848012.5182552134,720291.8628329879,False
Brunswick West,h,Northern Metropolitan,3,5.9,942000.0,1018654.0541942978,1001460.5078247333,949013.9335251504,False
Brunswick West,u,Northern Metropolitan,2,5.9,471000.0,454965.2066097964,450302.4797260237,434753.1818095115,False
Brunswick West,u,Northern Metropolitan,2,5.9,400500.0,467249.89312702056,429382.1106480307,434112.8146737029,False
Brunswick West,t,Northern Metropolitan,3,5.9,797500.0,932530.5722125882,911042.1324985417,858960.8882210442,False
Brunswick West,u,Northern Metropolitan,2,5.9,385000.0,408077.0916004703,408636.8798073032,419721.3749417147,False
Brunswick West,u,Northern Metropolitan,2,5.9,656000.0,447422.7948969227,472413.78615157376,461625.58499369194,False
Brunswick West,u,Northern Metropolitan,2,5.9,370000.0,446417.1451034664,418791.7656830205,414590.99622689467,False
Brunswick West,u,Northern Metropolitan,1,5.9,252000.0,283191.0350922745,281452.2457355599,272166.1496685781,False
Brunswick West,h,Northern Metropolitan,4,5.9,1700000.0,1482147.678095339,1456298.5267151622,1468486.2139433043,False
Bulleen,h,Eastern Metropolitan,4,11.8,1303000.0,1142539.6051356406,1291405.5498155397,1246744.8689217381,False
Bulleen,h,Eastern Metropolitan,5,11.8,1336000.0,1311738.8458479373,1474124.4316770465,1384784.227951722,False
Bulleen,u,Eastern Metropolitan,3,11.8,787000.0,729864.6920313352,754462.8807203057,728362.3987241909,False
Bulleen,h,Eastern Metropolitan,4,11.8,1280000.0,1265568.5879452534,1334315.1406679458,1357036.42574087,False
Bulleen,h,Eastern Metropolitan,4,11.8,1300000.0,1270222.5346545072,1505794.3288541238,1368814.013735879,False
Bulleen,h,Eastern Metropolitan,4,11.8,1250000.0,1275325.0686843982,1481129.4653168912,1407423.4216118958,False
Bulleen,h,Eastern Metropolitan,2,11.8,833000.0,833633.0224652202,846082.6869712374,863257.6054479509,False
Burwood,u,Southern Metropolitan,3,11.7,686000.0,709733.0982532415,611110.4691145684,634337.7122677118,False
Burwood,h,Southern Metropolitan,3,11.7,1468000.0,1328033.717039803,1345422.3320979166,1393255.7715001893,False
Burwood,u,Southern Metropolitan,2,11.7,650000.0,554484.5384134129,472641.19735849585,511543.7891293899,False
Burwood,t,Southern Metropolitan,3,11.7,1145000.0,899580.3624501127,1052614.786851167,979667.4565030084,False
Burwood,h,Southern Metropolitan,5,11.7,1410000.0,1575991.3130809702,1326376.0611053822,1248464.9352565834,False
Camberwell,h,Southern Metropolitan,5,7.8,2860000.0,2248067.0119125005,2355683.3357447395,2391459.5539462916,False
Camberwell,u,Southern Metropolitan,2,7.8,805000.0,1065630.5422604154,908818.2888186284,956654.166380498,False
Camberwell,h,Southern Metropolitan,4,7.8,2228000.0,2233951.870558549,2313594.325504283,2369109.4094224763,False
Camberwell,t,Southern Metropolitan,3,7.8,930000.0,1175677.7606558604,1229277.4091517455,1231368.7907683186,False
Camberwell,u,Southern Metropolitan,2,7.8,590000.0,686138.0270966527,612492.7290869533,610897.1406654209,False
Camberwell,h,Southern Metropolitan,4,7.8,4760000.0,2717931.465701886,2727873.380664463,2930264.5110048065,False
Camberwell,h,Southern Metropolitan,3,7.8,1602500.0,1463787.9184537278,1484053.3234304155,1479437.6823673584,False
Camberwell,h,Southern Metropolitan,3,7.8,3400000.0,2136460.145800621,2361283.7125409925,2274062.491661122,False
Camberwell,h,Southern Metropolitan,2,7.8,1470000.0,1391404.937617954,1283842.623085696,1308402.3762088695,False
Camberwell,u,Southern Metropolitan,2,7.8,820000.0,772949.2426189368,699801.1409135102,731384.7052513735,False
Camberwell,h,Southern Metropolitan,3,7.8,2105000.0,1874773.6298778236,1831863.7163227198,1896697.8337559518,False
Camberwell,t,Southern Metropolitan,3,7.8,1625000.0,1352803.4912807918,1376027.0273949269,1350051.7446888955,False
Camberwell,h,Southern Metropolitan,3,7.8,1750000.0,2030138.2217865307,1984767.2405737033,2069712.4419674755,False
Camberwell,h,Southern Metropolitan,3,7.8,3300000.0,1804594.2811069263,1846037.8711911046,2039504.8551297046,False
Canterbury,t,Southern Metropolitan,4,9.0,1550000.0,1669114.5139288304,1697497.8299168416,1811722.60314633,False
Canterbury,h,Southern Metropolitan,2,9.0,765000.0,1375573.873210623,1248648.8224653697,1313207.5664340586,False
Canterbury,h,Southern Metropolitan,4,9.0,3800000.0,2599673.598409198,2034039.9851122834,2195244.628765759,False
Canterbury,h,Southern Metropolitan,5,9.0,3550000.0,2667404.835300515,3254867.5453980793,3442889.619117177,False
Carlton North,h,Northern Metropolitan,3,3.2,1540000.0,1351654.3316104114,1332597.411698787,1416271.78865323,False
Carlton North,h,Northern Metropolitan,4,3.2,1425000.0,1521216.8410088161,1671140.1283844137,1639783.4373244126,False
