columna,dtype,n_unicos,constante,nzv_modal_pct,n_centinelas,min,max,n_outliers_z10,spearman_abs_label,auc_0_vs_resto,auc_1_vs_2,ks_train_test,ks_pvalue,meta_drift_excluida_en_E
cModelMag_z,float64,999,False,0.002,0,11.6269,23.23767,4,0.0896,0.6182,0.6479,0.0959,1.0101718838862712e-07,False
modelMag_r,float64,999,False,0.002,0,12.24625,22.71102,0,0.1591,0.5486,0.6694,0.0958,1.0461873704777299e-07,False
petroMag_z,float64,997,False,0.002,0,11.64435,29.73299,6,0.0422,0.6281,0.6112,0.0951,1.3355549549992605e-07,False
cModelMagErr_z,float64,999,False,0.002,0,0.002009833,7.348148,6,0.1014,0.6479,0.5066,0.0947,1.5343054377386635e-07,False
modelMag_z,float64,999,False,0.002,0,11.59292,25.49574,4,0.0732,0.6146,0.6312,0.0946,1.588306922880742e-07,False
cModelMag_i,float64,997,False,0.002,0,11.90718,24.57957,2,0.1287,0.5879,0.6654,0.0941,1.8871568871401276e-07,False
modelMag_i,float64,997,False,0.002,0,11.83432,24.81985,3,0.113,0.5848,0.6493,0.094,1.9531465703713474e-07,False
dered_u,float64,1000,False,0.001,0,14.57375,27.24411,0,0.3464,0.5504,0.7809,0.0924,3.3681669801372544e-07,False
petroMagErr_r,float64,1000,False,0.001,0,0.001656341,6.274004,50,0.0719,0.6728,0.5343,0.0921,3.7265964027655755e-07,False
petroMag_i,float64,995,False,0.002,0,11.85641,24.74205,3,0.1169,0.5805,0.6504,0.0907,5.947960893332095e-07,False
z,float64,1000,False,0.001,0,-0.001534722,1.439215,1,0.3427,0.5758,0.7654,0.0889,1.0736099298885936e-06,False
fiberMagErr_z,float64,1000,False,0.001,0,0.003509187,3.398253,15,0.2096,0.7311,0.5572,0.0882,1.346458612749999e-06,False
dered_g,float64,998,False,0.002,0,12.91101,24.84922,0,0.2905,0.5158,0.7498,0.0829,7.054714355064123e-06,False
fiberMag_r,float64,999,False,0.002,0,15.49614,23.06409,0,0.109,0.6042,0.5393,0.0828,7.2714464515870984e-06,False
fiberMagErr_i,float64,1000,False,0.001,0,0.00128452,1.214624,36,0.2092,0.754,0.5443,0.0827,7.494562130524348e-06,False
dered_z,float64,999,False,0.002,0,11.5548,25.46614,4,0.0719,0.6166,0.6311,0.0817,1.0118710022439848e-05,False
petroMagErr_i,float64,1000,False,0.001,0,0.001785475,6.142177,47,0.1509,0.7163,0.5129,0.0815,1.0740138759236017e-05,False
petroMagErr_z,float64,1000,False,0.001,0,0.002604217,71.62125,29,0.1976,0.7199,0.5528,0.0814,1.1064413199473314e-05,False
dered_i,float64,1000,False,0.001,0,11.78306,24.66205,3,0.1119,0.5881,0.6502,0.0813,1.139806061063824e-05,False
dered_r,float64,996,False,0.002,0,12.17727,22.59847,0,0.1586,0.553,0.6715,0.0792,2.1091555705711348e-05,False
cModelMag_u,float64,1000,False,0.001,0,14.60811,27.90714,0,0.3216,0.5455,0.7612,0.077,3.949917187243643e-05,False
fiberMag_i,float64,999,False,0.002,0,15.31993,23.55411,0,0.1308,0.6183,0.5506,0.075,6.880447796868254e-05,False
fiberMag_z,float64,997,False,0.002,0,15.24781,22.26659,0,0.1481,0.635,0.5563,0.0727,0.00012791993655574026,False
mRrCcErr_r,float64,999,False,0.002,2,0.003207059,22.79919,31,0.4428,0.6462,0.812,0.0717,0.00016649923922025414,False
psfMag_u,float64,995,False,0.002,0,17.65798,26.0447,0,0.1028,0.5094,0.5867,0.069,0.000333086097165725,False
psfMagErr_z,float64,1000,False,0.001,0,0.01331667,2.793236,22,0.2651,0.7302,0.609,0.0663,0.000648818660426203,False
psfMag_g,float64,1000,False,0.001,0,16.22837,25.03846,0,0.0432,0.5673,0.5008,0.0521,0.013953062824468194,False
calibStatus_u,int64,9,False,0.664,0,1.0,24769.0,0,0.0325,0.5095,0.5187,0.0477,0.03109696452319361,False
psfMagErr_g,float64,1000,False,0.001,0,0.009998424,8.93603,35,0.0447,0.632,0.5337,0.0431,0.06665004618486119,False
psfMag_z,float64,995,False,0.002,0,15.03955,23.08549,0,0.2272,0.66,0.6132,0.041,0.09200124682159835,False
calibStatus_g,int64,8,False,0.832,0,1.0,24705.0,0,0.0352,0.5215,0.5083,0.0404,0.10057840950640097,False
mRrCc_r,float64,999,False,0.002,0,2.775853,3226.737,50,0.5174,0.6027,0.9041,0.0389,0.12496044124318417,False
psfMag_r,float64,998,False,0.002,0,15.2836,22.89769,0,0.186,0.6225,0.5973,0.0388,0.12674455190159728,False
psfMagErr_r,float64,1000,False,0.001,0,0.009024923,2.069706,32,0.1712,0.698,0.543,0.0369,0.16476216374670605,False
calibStatus_r,int64,8,False,0.839,0,1.0,24769.0,0,0.0225,0.5053,0.5098,0.0339,0.24254638596549982,False
calibStatus_z,int64,8,False,0.868,0,1.0,24705.0,0,0.0429,0.5232,0.5093,0.0338,0.24554779857286013,False
psfMag_i,float64,999,False,0.002,0,15.08597,24.64168,0,0.217,0.6431,0.6134,0.0318,0.31144257434820877,False
calibStatus_i,int64,8,False,0.862,0,1.0,24769.0,0,0.0312,0.5096,0.5113,0.0269,0.5191102482776367,False
psfMagErr_i,float64,1000,False,0.001,0,0.01091259,1.429723,34,0.1828,0.7323,0.5332,0.0199,0.8583766514296634,False
zWarning,int64,5,False,0.994,0,0.0,134.0,0,0.0719,0.5139,0.5007,0.0013,1.0,False
